value_ratio,time_delta,same_asset,hop_count,amount_similarity,degree,fanout,fanin,address_age,transaction_frequency,entity_evidence,path_length,relevance_score
0.2301,30.8,1,1,0.1428,2.5,1.5,1.0,723,29.1,0,2,29.324650727899307
0.4623,1.0,1,1,0.5884,2.5,1.0,1.5,164,25.5,1,2,31.64429782314948
0.5229,72.3,1,4,0.4985,2.2,1.0,1.2,61,22.5,0,5,30.848962147838325
0.0501,43.7,1,1,0.0,62.5,0.5,62.0,464,631.2,1,2,79.34409764183438
0.464,39.0,1,2,0.1374,8.67,1.0,7.67,643,102.0,2,3,52.633003514794126
0.4964,50.2,1,1,0.0,1.5,0.5,1.0,519,16.9,0,2,26.075423533974995
0.7501,47.7,1,2,0.5,2.0,1.0,1.0,397,23.2,3,3,62.54741033254569
0.9999,1.0,0,1,1.0,1.5,0.5,1.0,1,16.9,1,2,31.773722036594027
0.2997,1.0,1,1,0.081,27.0,0.5,26.5,10,272.0,1,2,55.68617524226346
0.0797,40.3,1,1,0.0,21.0,1.0,20.0,877,214.2,0,2,46.33555036346723
1.0,1.0,0,3,1.0,2.0,1.0,1.0,309,35.1,1,4,29.214821248616868
0.9994,1.0,1,1,1.0,1.5,0.5,1.0,351,17.6,0,2,15.285946901149044
0.957,1.0,1,1,0.997,85.0,0.5,84.5,74,859.4,1,2,62.96589412720199
0.5209,1.0,1,3,0.6407,14.25,1.0,13.25,343,146.8,1,4,35.00088030820683
0.396,48.6,1,1,0.4277,11.5,0.5,11.0,316,120.3,2,2,42.38710051099786
0.9991,43.7,1,1,0.9996,1.5,0.5,1.0,257,17.2,3,2,44.410955178941
0.9991,30.3,1,3,1.0,1.75,0.75,1.0,147,24.8,0,4,15.726418351300909
0.4213,6.3,1,2,0.5235,40.0,0.67,39.33,271,405.7,1,3,64.37005924943638
1.0,81.4,1,1,1.0,2.0,1.0,1.0,313,22.4,0,2,12.440632881248003
0.5623,56.2,1,1,0.9439,1.5,0.5,1.0,314,15.4,0,2,10.315703123616325
0.2653,1.0,1,2,0.3631,4.33,2.33,2.0,472,53.6,0,3,35.38429216657247
0.4226,38.9,1,1,0.4423,3.0,1.0,2.0,547,32.0,0,2,22.794067800097757
0.2117,1.0,1,1,0.3353,8.5,0.5,8.0,5,93.4,1,2,40.775215587418906
0.999,1.0,1,1,1.0,2.0,1.0,1.0,335,31.3,3,2,40.67899624345961
0.9963,15.5,1,2,0.9998,2.0,1.0,1.0,663,26.5,0,3,16.715159214507036
0.9992,1.0,1,1,1.0,2.0,1.0,1.0,86,24.7,0,2,18.567337940334763
0.1609,56.6,1,1,0.1505,2.0,1.0,1.0,126,25.8,0,2,19.972753911210237
0.7471,68.2,1,5,0.6675,5.83,1.5,4.33,431,59.7,1,6,42.22868553686515
0.4913,1.0,1,1,0.1967,5.5,0.5,5.0,693,61.0,2,2,46.053294383895384
0.3399,1.0,1,1,0.2889,4.0,0.5,3.5,750,43.9,1,2,35.44252366775817
0.6107,28.3,1,6,0.449,11.0,1.57,9.43,694,115.5,2,7,55.66215575409545
0.1856,25.2,1,1,0.1316,12.0,0.5,11.5,668,122.8,1,2,54.7640288142072
0.4467,1.0,1,2,0.1071,4.0,0.67,3.33,165,40.2,1,3,40.18773465338371
0.2485,58.5,1,1,0.0672,34.5,3.5,31.0,109,348.8,1,2,55.42245296177952
0.7723,1.0,1,2,0.7045,5.0,1.0,4.0,786,57.2,1,3,39.529703802571504
0.8343,40.5,1,4,0.9626,2.0,1.0,1.0,104,20.6,1,5,26.443778861486336
1.0,21.6,1,1,1.0,1.5,0.5,1.0,747,20.2,1,2,28.76279978162511
0.593,1.0,1,2,0.5699,2.0,1.0,1.0,708,22.1,1,3,23.515608412581447
0.275,50.8,1,1,0.0,33.5,0.5,33.0,9,336.4,1,2,55.730510995149615
0.9414,96.9,1,1,0.9971,3.0,0.5,2.5,467,32.8,0,2,19.27092732538897
0.1737,76.7,1,2,0.1042,2.67,1.33,1.33,298,33.6,0,3,32.33627020904243
0.1728,33.9,1,2,0.2325,2.33,1.0,1.33,24,27.0,0,3,28.19565785801638
0.6068,41.0,1,2,0.6846,4.0,0.67,3.33,179,43.1,1,3,33.63671040232342
0.6142,1.0,1,1,0.5892,4.0,0.5,3.5,156,45.2,2,2,42.43317248728856
0.9998,39.1,1,3,1.0,2.0,1.0,1.0,631,21.3,0,4,13.077570557526649
0.999,36.2,1,1,1.0,2.0,1.0,1.0,423,26.3,0,2,13.940889246342605
0.498,46.3,1,1,0.5086,3.5,1.0,2.5,162,39.2,1,2,31.31932728933232
0.5391,59.1,1,2,0.5,3.67,0.67,3.0,274,39.8,1,3,41.249105354435876
0.7806,1.0,0,3,0.6516,3.25,0.75,2.5,14,34.6,0,4,27.693304568921473
0.4088,1.0,0,3,0.539,22.5,1.0,21.5,566,228.9,1,4,43.67281464635143
0.9998,7.4,1,2,0.9999,1.67,1.0,0.67,191,19.1,0,3,21.12049669173785
0.1294,1.0,1,2,0.0448,20.0,3.33,16.67,1,207.4,1,3,51.09209889273518
0.9523,2.5,1,1,0.0,4.0,3.0,1.0,621,41.9,2,2,45.968351838384535
0.8908,1.0,1,1,0.8854,2.5,2.0,0.5,409,32.4,0,2,23.11398413841312
0.6013,26.2,0,3,0.3882,33.25,1.0,32.25,247,333.7,2,4,77.46834414544529
0.9982,61.8,1,1,1.0,2.0,1.0,1.0,212,30.8,0,2,22.595492362266867
0.7783,1.0,1,2,0.9721,1.67,1.0,0.67,70,25.6,2,3,35.5262648107178
0.6091,1.0,1,1,0.0,2.0,1.0,1.0,1,28.0,0,2,26.459025322172256
0.9995,55.1,1,4,1.0,2.0,1.0,1.0,202,21.7,0,5,24.17990425114415
0.9979,75.7,1,6,1.0,2.14,1.14,1.0,244,23.3,0,7,30.866711604539393
0.9995,53.6,1,4,1.0,2.0,1.0,1.0,768,22.3,0,5,19.933293357510202
0.3651,32.7,1,3,0.2808,4.75,1.5,3.25,249,54.5,0,4,29.38088726988171
0.3841,50.4,0,2,0.1314,3.33,2.33,1.0,227,35.4,1,3,33.1028846705815
0.2505,1.0,1,1,0.0,7.5,0.5,7.0,303,81.2,1,2,36.54902902485406
0.9983,1.0,1,1,0.9998,1.5,1.0,0.5,702,18.5,2,2,42.06713634224137
0.107,79.7,1,1,0.0,1.5,1.0,0.5,263,15.1,0,2,34.16678068418728
0.9751,31.9,1,1,0.0,2.5,1.0,1.5,449,27.6,0,2,27.69061989138917
0.3476,4.6,1,1,0.3099,2.0,0.5,1.5,682,21.1,0,2,30.281320367536555
0.9999,1.0,1,1,1.0,2.0,1.0,1.0,317,28.5,0,2,20.017771545584846
0.7804,18.5,1,2,0.9714,2.0,1.0,1.0,149,20.2,0,3,16.232267695684943
0.3666,1.5,1,2,0.0737,4.33,1.0,3.33,234,48.2,0,3,32.76366879708443
0.5787,1.0,1,5,0.5228,2.83,0.83,2.0,700,36.9,0,6,38.44783307094032
0.9526,20.5,1,1,0.9787,2.5,1.5,1.0,177,25.9,1,2,28.13300518016612
0.3461,1.0,1,1,0.2913,3.5,0.5,3.0,774,37.6,1,2,44.75998516936462
0.4646,7.5,1,4,0.3872,24.6,1.4,23.2,809,246.0,1,5,43.69991251707282
0.9992,41.9,1,1,1.0,2.0,1.0,1.0,739,23.5,0,2,21.940478556434517
0.9948,1.0,1,4,1.0,2.0,1.0,1.0,789,22.2,0,5,23.357941853630876
0.9731,52.8,1,1,0.0,6.0,3.5,2.5,638,64.8,1,2,38.55790785620689
1.0,64.7,1,4,1.0,2.0,1.0,1.0,571,26.9,0,5,23.008663566774118
1.0,92.0,1,1,1.0,1.5,0.5,1.0,272,16.8,1,2,16.465636130907285
